"Time","Region Code","Region","Total population (Both sexes)【person】","Annotation"
"Apr.2022","00000","Japan","125071000",""
"May 2022","00000","Japan","125072000",""
"Jun.2022","00000","Japan","125104000",""
"Jul.2022","00000","Japan","125125000",""
"Aug.2022","00000","Japan","125082000",""
"Sep.2022","00000","Japan","124971000",""
"Oct.2022","00000","Japan","124947000",""
"Nov.2022","00000","Japan","124913000",""
"Dec.2022","00000","Japan","124861000",""
"Jan.2023","00000","Japan","124752000",""
"Feb.2023","00000","Japan","124631000",""
"Mar.2023","00000","Japan","124567000",""
"Apr.2023","00000","Japan","124554000",""
"May 2023","00000","Japan","124477000",""
"Jun.2023","00000","Japan","124520000","Preliminary report"
"Jul.2023","00000","Japan","124560000","Preliminary report"
"Aug.2023","00000","Japan","124540000","Preliminary report"
"Sep.2023","00000","Japan","124450000","Preliminary report"
"Oct.2023","00000","Japan","124340000","Preliminary report"
